Job Title;Job Description;Job Payment;Job Link
arabic-speaking Male Video Presenter for Educational Sports Content;"""I am looking forward to contributing to a work environment that allows me to utilize my skills in software development and modern technology. I have practical experience in programming languages such";Hourly: $10.00 - $20.00 ;https://www.upwork.com/freelance-jobs/apply/arabic-speaking-Male-Video-Presenter-for-Educational-Sports-Content_~021836409491612271712
"I want to control the TF100 scooter screen, send and receive data with Arduino
";I want to control the TF100 scooter screen, send and receive data with Arduino;Est. budget: $30.00;https://www.upwork.com/freelance-jobs/apply/want-control-the-TF100-scooter-screen-send-and-receive-data-with-Arduino_~021836406979314070055
Python Developer;We are seeking highly motivated and experienced Python Developer to join our team. This role is pivotal in developing and enhancing our platform, ensuring we continue to deliver exceptional value to o;Hourly: $38.00 - $48.00 ;https://www.upwork.com/freelance-jobs/apply/span-class-highlight-Python-span-Developer_~021836344503210392772
"Debug web scraper; help us debug (short but easy win project) ";We gave a python script that is now returning a 403 error. We need it fixed. We would like someone to have a zoom call with us (we are in New York) today in hopes of fixing what is wrong (state header;Hourly: $10.00 - $15.00 ;https://www.upwork.com/freelance-jobs/apply/Debug-web-scraper-help-debug-short-but-easy-win-project_~021836365206405132777
Full Stack Developer / Visionary;Technical SkillsWeb Development: Proficiency in HTML, CSS, and JavaScript.Backend Development: Experience with server-side languages (e.g., Node.js, PHP, Ruby, Python).Database Management: Knowledg;Est. budget: $500.00;https://www.upwork.com/freelance-jobs/apply/Full-Stack-Developer-Visionary_~021836336842304248742
Looking for someone with experience in mobile bot automation ;Looking for someone with experience in mobile bot automation to do a simple work of automating a signup process on mobilePreferable execution method: using NodeJS  (Preferable but not a must) : I;Est. budget: $30.00;https://www.upwork.com/freelance-jobs/apply/Looking-for-someone-with-experience-mobile-bot-automation_~021836358807639731843
Named Data Networking Simulation;I need to design and deploy an NDN based simulation on ndnSIM and mini-ndn or any other NDN simulator you are expert in. I could provide you the basic topologies or we can also discuss the best appro;Hourly: $5.00 - $10.00 ;https://www.upwork.com/freelance-jobs/apply/Named-Data-Networking-Simulation_~021836358296066540962
JS App Development related project;I'm looking for a developer skilled in Electron.js to modify a simple desktop application with a graphical user interface (GUI) for Windows / cross-platform.This is just for a proof of concept so I';Est. budget: $10.00;https://www.upwork.com/freelance-jobs/apply/App-Development-related-project_~021836355352149482406
Promote an Excel AI tool, with formula, VBA and Python automation capability, get 25% revenue share;Hi Excel gurus! I have developed an AI Excel assistant that is the only AI that Truly Understands and Executes in Excel for Formulas, VBA, Python and Data Processing tasks. It can understand real wor;Est. budget: $10.00;https://www.upwork.com/freelance-jobs/apply/Promote-Excel-tool-with-formula-VBA-and-span-class-highlight-Python-span-automation-capability-get-revenue-share_~021836340473741040550
Raw image analysis software;We are building raw image analysis tool designed for engineers working in sensor development, aerospace, medical imaging, and other industries. The tool will focus on decoding, viewing, and analyzing ;Hourly: $25.00 - $35.00 ;https://www.upwork.com/freelance-jobs/apply/Raw-image-analysis-software_~021836327111888383619
Data scientist: health;Data scientist: healthThe project is about organising structured and unstructured data on many clinical trials in order to produce aggregate-level insights.This is a commercial project, yet with a;Hourly;https://www.upwork.com/freelance-jobs/apply/Data-scientist-health_~021836305504910356099
Economic simulation with agents in Netlogo;i need someone to help me with Economic simulation with agents in Netlogo. i will share more details in the chat. ;Est. budget: $120.00;https://www.upwork.com/freelance-jobs/apply/Economic-simulation-with-agents-Netlogo_~021836297183516077699
Urgent Need to Django  related task;I'm facing issues installing GDAL in my Django project on macOS. It seems to be a problem with using pip for the installation. I need a freelancer with experience in Django, GDAL, and macOS to help me;Est. budget: $10.00;https://www.upwork.com/freelance-jobs/apply/Urgent-Need-Django-related-task_~021836267008782937731
Django on macOS related task;I'm facing issues installing GDAL in my Django project on macOS. It seems to be a problem with using pip for the installation. I need a freelancer with experience in Django, GDAL, and macOS to help me;Est. budget: $10.00;https://www.upwork.com/freelance-jobs/apply/Django-macOS-related-task_~021836266367606256018
Remote Product Analyst for Collaborative Development;We are seeking a skilled Product Analyst to join our remote team and collaborate closely with developers. The ideal candidate will have a strong understanding of product development processes and the ;Hourly: $15.00 - $40.00 ;https://www.upwork.com/freelance-jobs/apply/Remote-Product-Analyst-for-Collaborative-Development_~021836203620792747426
Automation Specialist - AI Writer Output to Webflow CMS Blog;We're seeking an experienced Automation Specialist to streamline our content workflow by creating a system that converts AI-generated content from notepad files to automated uploads in Webflow CMS.Re;Est. budget: $50.00;https://www.upwork.com/freelance-jobs/apply/Automation-Specialist-Writer-Output-Webflow-CMS-Blog_~021836147050082097577
Need someone help me deploy GitHub repo on Vercel;Hi, I'd like to hire someone to help me deploy some open repositories from github:Add the github domain before them:1.  Nutlope/roomGPT2. mikeyny/htmx-interior-design-ai3.  siegblink/interior-de;Hourly: $5.00 - $8.00 ;https://www.upwork.com/freelance-jobs/apply/Need-someone-help-deploy-GitHub-repo-Vercel_~021836112379264784809
Expert Python DJANGO + Remix JS dev needed (Shopify) (No agencies);TO APPLY FOR THIS JOB YOU NEED SERIOUS EXPERIENCE WITH BOTH REMIX and PYTHON (DJANGO, FLASK OR FASTAPI)!We are seeking a highly skilled expert and experienced Shopify Developer to design and build cu;Hourly: $7.00 - $16.00 ;https://www.upwork.com/freelance-jobs/apply/Expert-span-class-highlight-Python-span-DJANGO-Remix-dev-needed-Shopify-agencies_~021836110831581087138
. Knowledge Base Development:;. Knowledge Base Development:Objective: We are developing a robust and scalable math knowledge base as an integral part of our educational offering. The system is designed to provide a personalized l;Hourly;https://www.upwork.com/freelance-jobs/apply/Knowledge-Base-Development_~021823434132185633695
Ecommerce Automate product information and pictures;I have an xls file with products. I only have the ean numbers and the prices that i want to sell.     CAN YOU AUTOMATE MY STORE TO FIND THE PICTURES AND PRODUCT DESCRIPTIONS.  THE STORE IS LOCATED;Hourly: $3.00 - $10.00 ;https://www.upwork.com/freelance-jobs/apply/Ecommerce-Automate-product-information-and-pictures_~021836088086583942382
Data Scraping & Analysis: Google Places & Yelp API Integration for UK Restaurants;I am looking for an experienced data scientist or developer with expertise in working with APIs (specifically Google Places API and Yelp API) to create a comprehensive dataset of all restaurants in th;Hourly: $5.00 - $15.00 ;https://www.upwork.com/freelance-jobs/apply/Data-Scraping-Analysis-Google-Places-Yelp-API-Integration-for-Restaurants_~021836083126170934182
Looking for someone with experience in mobile bot automation ;Looking for someone with experience in mobile bot automation to do a simple work of automating a signup process on mobilePreferable execution method (Preferable but not a must) : Using Appium  Node;Est. budget: $30.00;https://www.upwork.com/freelance-jobs/apply/Looking-for-someone-with-experience-mobile-bot-automation_~021836081021489639322
Urgent Need to Electron JS App Development;I'm looking for a developer skilled in Electron.js to modify a simple desktop application with a graphical user interface (GUI) for Windows / cross-platform.This is just for a proof of concept so I';Est. budget: $10.00;https://www.upwork.com/freelance-jobs/apply/Urgent-Need-Electron-App-Development_~021836078782008940969
Frontend Developer Needed;I need a frontend made so I can use this app https://github.com/coqui-ai/TTS.gitI am more after the voice changer part onlyI have attached a txt file on how to load this codeplease apply if u ca;Est. budget: $100.00;https://www.upwork.com/freelance-jobs/apply/Frontend-Developer-Needed_~021836037447944133033
Extremely fast script for  Web Scraping to CSV & MysQL;We need an extremely fast script to scrape the following urls and populates a mysql database  with the following requirements.Allow for a place to enter mysql credentials (bonus if credential scan be;Est. budget: $30.00;https://www.upwork.com/freelance-jobs/apply/Extremely-fast-script-for-Web-Scraping-CSV-MysQL_~021836036861538512515
Github hosted program that runs on weekdays to post auction results to Google Sheets;The script should be scheduled run every weekday at 6pm ESTThe script should be hosted on my GitHub accountThe results should be posted to Google SheetsSite: https://manatee.realforeclose.com/inde;Est. budget: $50.00;https://www.upwork.com/freelance-jobs/apply/Github-hosted-program-that-runs-weekdays-post-auction-results-Google-Sheets_~021836034087417436586
Fuzzy Automation Internship Opportunity;We are seeking a motivated intern to join our team focused on fuzzy automation technologies. This is an excellent opportunity for someone eager to learn and gain hands-on experience in this innovative;Hourly: $15.00 - $35.00 ;https://www.upwork.com/freelance-jobs/apply/Fuzzy-Automation-Internship-Opportunity_~021836030148485531042
Need python developer available right now, to make a quick fix on a project;I have a project in gitlab, that involves scrapping this page:https://www.playmakerstats.com/team/juventus/matchesThe app is giving an error right now, and i need to fix it.Need the work to be do;Hourly;https://www.upwork.com/freelance-jobs/apply/Need-span-class-highlight-python-span-developer-available-right-now-make-quick-fix-project_~021836025419452034691
Electron JS App Development related task;I'm looking for a developer skilled in Electron.js to modify a simple desktop application with a graphical user interface (GUI) for Windows / cross-platform.This is just for a proof of concept so I';Est. budget: $10.00;https://www.upwork.com/freelance-jobs/apply/Electron-App-Development-related-task_~021836006571362589853
"Solana Sniping Bot related task
";We are looking for a skilled developer to create a Solana sniping bot similar to the one found at https://app.solsniperbot.net/. The project will involve updating the existing backend code available a;Est. budget: $500.00;https://www.upwork.com/freelance-jobs/apply/Solana-Sniping-Bot-related-task_~021835966787815312917
Quick Money: Need Django Developer + Python;I have paid more than 95k+ USD to freelancers in last few months. I have worked with more than 130 developers here and currently working with 130 developers. I believe in long term relationships and n;Est. budget: $20.00;https://www.upwork.com/freelance-jobs/apply/Quick-Money-Need-Django-Developer-span-class-highlight-Python-span_~021835915705059299280
Need to convert discord bot into webapp ;I have a discord bot and need to convert it into webapp, i have front end on Wordpress and need to build simple backend fot webapp preferably using fast api. Share your thoughts, price is negotiable;Est. budget: $350.00;https://www.upwork.com/freelance-jobs/apply/Need-convert-discord-bot-into-webapp_~021835906788166524977
Ai face swap ;In need of someone who can face swap short instagram reels and tik toks at scale. about 100-500 at a time. If you can prove yourself we will pay alot more and make this a long term relationship. ;Est. budget: $100.00;https://www.upwork.com/freelance-jobs/apply/face-swap_~021835860911580117164
Personnalisation de odoo;Bonjour,Je cherche une personne francophone pour m'aider à configurer odoo online, spécialement pour la partie inventaire et forecasting.Merci,;Hourly: $5.00 - $25.00 ;https://www.upwork.com/freelance-jobs/apply/Personnalisation-odoo_~021835825344993687724
Python Expert Needed;IF YOUR LOOKING FOR A 5* REVIEW APPLY FOR THIS JOB AND DO IT WITHIN 6-12 HOURSI am looking to make my code I attached to be more user friendly here is a loom explaining the job in detail https://www;Est. budget: $20.00;https://www.upwork.com/freelance-jobs/apply/span-class-highlight-Python-span-Expert-Needed_~021835753857082048873
Web scraping.;I'm looking to scrape website and sace data to excell + save images as .jpg 2ns project is a website behind  log in in this case we weould be saving  sku cost , msrp and qty avaliable to csv file. ;Hourly: $50.00 - $75.00 ;https://www.upwork.com/freelance-jobs/apply/Web-scraping_~021835748585221440724
Auditor required for outputs generated by AI & ML models;Freelancer Needed for Screen-Based Audit of AI & ML OutputsWe are looking for a detail-oriented freelancer to assist with an audit task that involves working on a screen-based interface. The auditor;Hourly;https://www.upwork.com/freelance-jobs/apply/Auditor-required-for-outputs-generated-models_~021835634797445725155
Looking for React and python Django developer;I need a gym website for react and django. The ideal candidate should provide github link on application;Est. budget: $100.00;https://www.upwork.com/freelance-jobs/apply/Looking-for-React-and-span-class-highlight-python-span-Django-developer_~021835649945574572197
Top Urgent Custom Automation related task;I'm looking for a software solution that can automate the download of videos from specific websites and the installation of Adobe Photoshop, Adobe Premiere Pro, and Adobe After Effects on IOS, Android;Est. budget: $200.00;https://www.upwork.com/freelance-jobs/apply/Top-Urgent-Custom-Automation-related-task_~021835640165183111529
"Automation Developer for Setup (VM + Script Development)
";Job Description:We are looking for an experienced developer or engineer to build and deploy a YouTube streaming farm using automation tools like Selenium or Puppeteer on Google Cloud or AWS virtual ;Hourly: $5.00 - $10.00 ;https://www.upwork.com/freelance-jobs/apply/Automation-Developer-for-Setup-Script-Development_~021835587123370377761
Crypto Sniping Bot Developer Needed;We are looking for an experienced developer with expertise in building sniping bots on Ethereum. If you have a strong background in blockchain development and a proven ability to create high-performan;Hourly;https://www.upwork.com/freelance-jobs/apply/Crypto-Sniping-Bot-Developer-Needed_~021835580194877067448
Python Developer for Web Scraping Public Data from Business Registry;We are seeking a skilled web scraping expert to automate the process of querying a postcode-based provider registry website. The task involves running queries for 3,200 Australian postcodes across 40 ;Est. budget: $200.00;https://www.upwork.com/freelance-jobs/apply/span-class-highlight-Python-span-Developer-for-Web-Scraping-Public-Data-from-Business-Registry_~021835564018023383585
Odoo related urgent task;I need assistance with Odoo 11 to modify the invoice format and remove unnecessary totals from both the sales and accounting sections.Key Requirements:- Remove totals from both the sales and accoun;Est. budget: $15.00;https://www.upwork.com/freelance-jobs/apply/Odoo-related-urgent-task_~021835529503635964667
Bot creation related task;I'm looking for a web-based platform, accessible via a Telegram bot, where users can watch advertisements, earn points by completing videos, and have a chance to win cash through a random draw.Key F;Est. budget: $30.00;https://www.upwork.com/freelance-jobs/apply/Bot-creation-related-task_~021835525334316077240
Crypto breakout algo using ccxt;Sell me Code You Already have.Simple ccxt trading infrastructure on Kucoin exchange purchasing breakouts or other taking positions in perps or spot based on daily and hourly candlestick charts with ;Est. budget: $8.00;https://www.upwork.com/freelance-jobs/apply/Crypto-breakout-algo-using-ccxt_~021835443533067340509
Python Fast API;We have a FAST API with 9 end points. All of them do a seperate thing but all code is in only 1 file which makes it hard to work with.Your task is to split from one .py file into 9 .py files. A se;Est. budget: $5.00;https://www.upwork.com/freelance-jobs/apply/span-class-highlight-Python-span-Fast-API_~021835427364903712840
Write efficient sxript to fetch engagement /ltv of profiles in a list (klaviyo python);I have a list / segment in klaviyo (with thousands/tens of thousands of profiles)I need to get the following statistics for the profiles in it on a daily basis over 60 days. Emails received (count);Est. budget: $20.00;https://www.upwork.com/freelance-jobs/apply/Write-efficient-sxript-fetch-engagement-ltv-profiles-list-klaviyo-span-class-highlight-python-span_~021835392362572806216
Raspberry Pi  related task;I'm seeking a skilled programmer to develop software for Raspberry Pi 4 and Pi Camera. The software should automatically record 10-second videos upon face detection. Post-capture, it should conduct fa;Est. budget: $30.00;https://www.upwork.com/freelance-jobs/apply/Raspberry-related-task_~021835384845745015517
Python Script Needed for Downloading and Processing KRS Documents;I am looking for a developer to create a Python script that performs the following tasks:Downloading Documents:The script should download registration application forms in PDF format from the KRS (;Hourly;https://www.upwork.com/freelance-jobs/apply/span-class-highlight-Python-span-Script-Needed-for-Downloading-and-Processing-KRS-Documents_~021835367738916917845
Python script for data scraping from pdf file;I have an invoice in pdf. Need to extract data from it using pdfplumber and bounding box. Use re to extract contact details. Then write dats in csv file. I already had a script which can also be share;Hourly: $5.00 - $15.00 ;https://www.upwork.com/freelance-jobs/apply/span-class-highlight-Python-span-script-for-data-scraping-from-pdf-file_~021835354638277398712
Telegram bot creation (Urgent Need);I'm looking for a web-based platform, accessible via a Telegram bot, where users can watch advertisements, earn points by completing videos, and have a chance to win cash through a random draw.Key F;Est. budget: $30.00;https://www.upwork.com/freelance-jobs/apply/Telegram-bot-creation-Urgent-Need_~021835339035296776737
Build wordpress plugin;This is a hotel online checkin simple plugin with ioption to submit info to Immigration. There is external SDK integrations but Gitub can serve the code (https://github.com/MiniAiLive). Let me explain;Est. budget: $150.00;https://www.upwork.com/freelance-jobs/apply/Build-wordpress-plugin_~021835248692972490072
Need to urgent Custom Automation;I'm looking for a software solution that can automate the download of videos from specific websites and the installation of Adobe Photoshop, Adobe Premiere Pro, and Adobe After Effects on IOS, Android;Est. budget: $200.00;https://www.upwork.com/freelance-jobs/apply/Need-urgent-Custom-Automation_~021835233563281572385
Custom Automation related urgent task;I'm looking for a software solution that can automate the download of videos from specific websites and the installation of Adobe Photoshop, Adobe Premiere Pro, and Adobe After Effects on IOS, Android;Est. budget: $200.00;https://www.upwork.com/freelance-jobs/apply/Custom-Automation-related-urgent-task_~021835163759945483003
Fullstack Developer Needed;IF YOUR LOOKING FOR A 5* REVIEW PLEASE APPLY TO THIS JOBI need someone to make a front end for my code please check txt file on how to use my codei need a basic gui where i can use my code its a v;Est. budget: $20.00;https://www.upwork.com/freelance-jobs/apply/Fullstack-Developer-Needed_~021835098773779042901
Develop Power BI Dashboard;- We are seeking an experienced Power BI developer to create a detailed and interactive dashboard that provides key insights- Deliverables include a fully functional Power BI dashboard, source files ;Est. budget: $30.00;https://www.upwork.com/freelance-jobs/apply/Develop-Power-Dashboard_~021835030732292522747
Print Windows software; .exe program for Windows that retrieves data from a server and prints it to a locally installed printer ;Est. budget: $30.00;https://www.upwork.com/freelance-jobs/apply/Print-Windows-software_~021835023968522981560
Data Science work - urgent ;The project aims to build a comprehensive system that not only analyzes past data to derive insights into space usage patterns but also provides a real-time, user-friendly dashboard for managing space;Hourly: $18.00 - $22.00 ;https://www.upwork.com/freelance-jobs/apply/Data-Science-work-urgent_~021835020280310428032
We need two crawlers who are fluent in Bahasa Indonesia, Bahasa Malay and Chinese to crawl the data.;We are looking for two experienced data crawlers who are fluent in Bahasa Indonesia, Bahasa Malay, and Chinese. The crawlers will be responsible for gathering data from various websites and online sou;Est. budget: $50.00;https://www.upwork.com/freelance-jobs/apply/need-two-crawlers-who-are-fluent-Bahasa-Indonesia-Bahasa-Malay-and-Chinese-crawl-the-data_~021834991462589514273
Need a person to create telegram bot;Need somebody to create telegram bot for local football team for trainings.Key deliverabilities:1) Bot should assign the number for each player one by one based on time the player click on the but;Est. budget: $5.00;https://www.upwork.com/freelance-jobs/apply/Need-person-create-telegram-bot_~021835011270410227896
URGENT ---- Help With DNS Resolution For API ----- URGENT;I have deployed my node api to a digital ocean droplet and set-up nginx to run as the web server.  Using Postman I can query all the endpoints with IP address, but I can not query the API endpoints ;Est. budget: $10.00;https://www.upwork.com/freelance-jobs/apply/URGENT-Help-With-DNS-Resolution-For-API-URGENT_~021834998164701737344
Python and Google Appscript PDF Parsers;I have a collection of PDFs that I get sent often. I need these scanned and their respective fields input into an Excel document and Google sheet.I'd like this done 2 different ways. One that uses P;Hourly;https://www.upwork.com/freelance-jobs/apply/span-class-highlight-Python-span-and-Google-Appscript-PDF-Parsers_~021834997554679632056
Full Stack Developer Needed;IF YOUR LOOKING FOR A 5* REVIEW PLEASE APPLY TO THIS JOBI need someone who can clean my code up this is the code https://drive.google.com/file/d/18CDKd-xo36nfryz5M_J4zfKwPggpAftd/view?usp=sharingi;Est. budget: $20.00;https://www.upwork.com/freelance-jobs/apply/Full-Stack-Developer-Needed_~021834965258616554017
AI Voice Changer Software Needed;Hi if you made a software where it can change the voice of an mp3 file apply here ;Est. budget: $100.00;https://www.upwork.com/freelance-jobs/apply/Voice-Changer-Software-Needed_~021834954061617222229
Phyton casino api integration;integrate more casinos in our web app .. more info private;Est. budget: $100.00;https://www.upwork.com/freelance-jobs/apply/Phyton-casino-api-integration_~021834938933913714324
Software QA Engineer for Robotic Application;About Us: We are an innovative company focused on developing cutting-edge robotic applications. Our mission is to push the boundaries of technology and create solutions that make a real impact. We are;Hourly: $8.00 - $10.00 ;https://www.upwork.com/freelance-jobs/apply/Software-Engineer-for-Robotic-Application_~021834920451588649344
Required the Source Code;Hi,I required a source code for the Below mentioned features, Someone just need to share the source code which are already available in the online. So just get that code and share it here.1. User ;Est. budget: $15.00;https://www.upwork.com/freelance-jobs/apply/Required-the-Source-Code_~021834916805456089685
Python: Convert my XLSX to a Dictionary using Pandas;Hi,I have an Excel file here I need to convert to a Python dictionaryThe Excel file is here: https://docs.google.com/spreadsheets/d/1JFHTrz9gabVJStAfbgkXFbUNrV6gLh2t/edit?usp=sharing&ouid=10930427;Est. budget: $10.00;https://www.upwork.com/freelance-jobs/apply/span-class-highlight-Python-span-Convert-XLSX-Dictionary-using-Pandas_~021834907942790704781
Craigslist Ai Bot ;I am looking to create an Ai chat bot that automatically responds to specific craigslist listings. ;Est. budget: $500.00;https://www.upwork.com/freelance-jobs/apply/Craigslist-Bot_~021834884598778413601
Python WebScraper of 2 particular tables;There is a platform Etoro, where some traders share their results and portfolios with public. I need a script which would be taking as an input nickname of trader, opening his info, and first scrappin;Est. budget: $40.00;https://www.upwork.com/freelance-jobs/apply/span-class-highlight-Python-span-WebScraper-particular-tables_~021834871850630939387
Full stack developer;I am looking for a highly skilled full stack developer for work on my website, I am looking for someone with a wide range of skills, who is hard working and has great attention to detail.I will alsi;Est. budget: $500.00;https://www.upwork.com/freelance-jobs/apply/Full-stack-developer_~021834861959302740040
Upgrade WordPress Website with New Features;Hi, we have found a dev team for the above project, but if you are still keen, we have another website to upgrade, detailed requirements are listed below, and you can user WP plugins to complete the f;Hourly;https://www.upwork.com/freelance-jobs/apply/Upgrade-WordPress-Website-with-New-Features_~021834831472687088379
Associate Data Scientist;Job Description: Associate Data ScientistExperience: 3+ yearsWork Mode: RemoteEmployment Type: ContractContract Duration: 1 year (extendable)DESCRIPTIONWe are seeking a highly skilled and;Hourly: $9.00 - $11.00 ;https://www.upwork.com/freelance-jobs/apply/Associate-Data-Scientist_~021834811447129441019
Looking for Full Stack Web3 Developer | React | Solidity | Python;We are looking for an experienced Full Stack Web3 Developer to join our innovative web3 project. The ideal candidate will possess strong skills in React and Node.js for building dynamic web applicati;Hourly: $30.00 - $100.00 ;https://www.upwork.com/freelance-jobs/apply/Looking-for-Full-Stack-Web3-Developer-React-Solidity-span-class-highlight-Python-span_~021834812886954147476
Rust mini job (GLTF);We are looking for a Rust developer with experience in compiling Rust to WebAssembly (Wasm). The task is build a small feature that generates a couple of 3D boxes in the GLTF format and  load the gene;Est. budget: $50.00;https://www.upwork.com/freelance-jobs/apply/Rust-mini-job-GLTF_~021834767098890978043
Leonardo.ai prompt engineer;We are looking for a prompt engineer to assist in pre-writing prompts for our application. These prompts will be sent to Leonardo.ai, along with user-provided content, to generate personalized, user-c;Est. budget: $100.00;https://www.upwork.com/freelance-jobs/apply/Leonardo-prompt-engineer_~021834683576259837588
Help with automating an Access database action;I have an Access database table containing transaction information. I need to export multiple spreadsheets to Excel, by company and date range. For example.Spreadsheet 1 - CompanyA sales in MarchSpr;Hourly: $15.00 - $40.00 ;https://www.upwork.com/freelance-jobs/apply/Help-with-automating-Access-database-action_~021834671591220706964
Sound Engineer Python Expert;IF YOUR LOOKING FOR A 5* REVIEW APPLY TO THIS JOBI am after someone who can create a script where i upload an mp4 then it will take the mp3 of the video and then be able to change the mp3 voicebut;Est. budget: $50.00;https://www.upwork.com/freelance-jobs/apply/Sound-Engineer-span-class-highlight-Python-span-Expert_~021834656666272267924
DevOps Expert Needed;IF YOUR LOOKING FOR A 5* REVIEW TO BOOST YOUR PROFILE APPLY TO THIS JOB VERY EASYI need someone who can deploy my code to docker here is the source file https://drive.google.com/file/d/1btbdW2-MdRqg;Est. budget: $10.00;https://www.upwork.com/freelance-jobs/apply/DevOps-Expert-Needed_~021834649581743493304
Help me to exchange Dataloader for a AI Model;I have a model training on a custom dataset. I want to change the Dataset and Dataloader to a different input format. (Currently the script is cutting ROIs from larger images on the fly, however I now;Est. budget: $50.00;https://www.upwork.com/freelance-jobs/apply/Help-exchange-Dataloader-for-Model_~021834627333444992660
C++ programming language related task ( Urgent) ;My C++ program, which is dependent solely on CEF Chromium and Ultimate++, needs to be updated to function with the latest versions of these frameworks. The program has specific key features that must ;Est. budget: $30.00;https://www.upwork.com/freelance-jobs/apply/programming-language-related-task-Urgent_~021834614962738034760
Odoo related task ;I need an expert in Odoo who can assist me with data extraction and reintegration from a customized Odoo module.Tasks:- Export data from the custom Odoo module.- Data should be exported in Excel f;Est. budget: $10.00;https://www.upwork.com/freelance-jobs/apply/Odoo-related-task_~021834614222805828347
C++ Programming related task ( Fire urgent);My C++ program, which is dependent solely on CEF Chromium and Ultimate++, needs to be updated to function with the latest versions of these frameworks. The program has specific key features that must ;Est. budget: $30.00;https://www.upwork.com/freelance-jobs/apply/Programming-related-task-Fire-urgent_~021834608383761092189
Fullstack Web Developer Needed;We are seeking an experienced Fullstack Web Developer to join our development team. As a Fullstack Web Developer, you will be responsible for designing, developing, and maintaining web applications. Y;Hourly;https://www.upwork.com/freelance-jobs/apply/Fullstack-Web-Developer-Needed_~021834592520629682939
The rise of artificial intelligence transforming our world;Artificial Intelligence are vary dangerous  can be control our mind here information about artificial intelligence is now as ai;Hourly: $18.00 - $22.00 ;https://www.upwork.com/freelance-jobs/apply/The-rise-artificial-intelligence-transforming-our-world_~021834567166681156952
MoviePy Expert Needed;if you have any experience with moviepy apply herei have a job for u ;Est. budget: $50.00;https://www.upwork.com/freelance-jobs/apply/MoviePy-Expert-Needed_~021834547160847781469
Automation of Data Scraping, Processing, and Excel Entry;I am looking for an experienced developer who can help me automate data scraping, web searching, and organizing data into Excel workbooks. The goal is to automate gathering email addresses and staff i;Hourly: $3.00 - $10.00 ;https://www.upwork.com/freelance-jobs/apply/Automation-Data-Scraping-Processing-and-Excel-Entry_~021834541521834085720
Google app script to upload a video for youtube;Create a google app script that allows to upload a video to a youtube channel on the same google account via a webhook.1) activate youtube API, generate tokens2) Setup google script, oauth, deploy ;Est. budget: $30.00;https://www.upwork.com/freelance-jobs/apply/Google-app-script-upload-video-for-youtube_~021834540460704397384
Python Django Expert Needed;IF YOUR LOOKING FOR A 5* REVIEW TO BOOST YOUR UPWORK PROFILE APPLY TO THIS JOB REMEMBER MORE REVIEWS ON YOUR PROFILES MEANS HIGHER CHANGE TO FIND MORE JOBSI need someone to fix the following issues ;Est. budget: $40.00;https://www.upwork.com/freelance-jobs/apply/span-class-highlight-Python-span-Django-Expert-Needed_~021834530887191347745
I want python upscaling api;Hello, thereI want an api for upscaling the image. Currently I need api for my project that's why I am finding some who will have deep knowledge in NLP, LLM and any other models. Thank you.;Hourly: $5.00 - $20.00 ;https://www.upwork.com/freelance-jobs/apply/want-span-class-highlight-python-span-upscaling-api_~021834476909177994900
Django React Dev for simple tasks;"Requirements: You can start imediatly.You use AI to write code, CURSOR encourages strongly for your ease.1. Show the columns ""Featured Image Prompt"", ""Raw Featured Image"", ""Featured""  from the ""Doc";Est. budget: $5.00;https://www.upwork.com/freelance-jobs/apply/Django-React-Dev-for-simple-tasks_~021834407508347719000
Economic simulation with agents in Netlogo;i need someone to help me with Economic simulation with agents in Netlogo. i will share more details in the chat. ;Est. budget: $120.00;https://www.upwork.com/freelance-jobs/apply/Economic-simulation-with-agents-Netlogo_~021834368748585782877
Probabilities in RNA sequence, using Statistics;I need someone to help me with Probabilities in RNA sequence, Statistics. i will share more details in the chat.;Est. budget: $20.00;https://www.upwork.com/freelance-jobs/apply/Probabilities-RNA-sequence-using-Statistics_~021834361234478781013
MoviePy Python Expert Needed;IM LOOKING FOR A MOVIEPY Expert that can modify my codei need user management to control the outputs of the code per monthand stripe integrationand to be able to remake videos 4:5 dimension (its;Est. budget: $50.00;https://www.upwork.com/freelance-jobs/apply/MoviePy-span-class-highlight-Python-span-Expert-Needed_~021834341436148142264
Selenium IDE professional to write  a script;I need a selenium IDE professional to write a selenium script for me ton run on firefox.Open urlwait 10 secondsclick on a random page pixelwait 5 secondsclick on a random page pixelclose all o;Est. budget: $15.00;https://www.upwork.com/freelance-jobs/apply/Selenium-IDE-professional-write-script_~021834324754472406621
Developer Needed to Fix Payment Processing Bug;We need an experienced developer to troubleshoot and resolve a bug causing errors during payment processing on our website. The ideal candidate should have a strong background in debugging payment sys;Est. budget: $100.00;https://www.upwork.com/freelance-jobs/apply/Developer-Needed-Fix-Payment-Processing-Bug_~021834319638419587617
Stripe Billing x Database x Follow Up Boss - Flask, API, Python;Project Overview (leaddata.io):We are developing a subscription-based API service that integrates with Stripe billing and Follow Up Boss CRM. The service allows users to enrich contact data through ;Est. budget: $300.00;https://www.upwork.com/freelance-jobs/apply/Stripe-Billing-Database-Follow-Boss-Flask-API-span-class-highlight-Python-span_~021834285338025393812
POS System;ComercioHN es una empresa dedicada a proporcionar soluciones digitales a pequeñas empresas y emprendedores locales. Nos especializamos en ayudar a nuestros clientes a establecer y mejorar su presencia;Est. budget: $70.00;https://www.upwork.com/freelance-jobs/apply/POS-System_~021834284705147896353
